"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","v","dcorr"
"var","50%",0.5,"abun",6.60094343765274,21.258024422654,43.9140047463038,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.6,"rich",2.05469465954912,3.08057642961877,3.60236246028837,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.6,"abun",7.25645982251955,24.6964632781953,51.3817471590909,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.7,"rich",2.03019372785313,3.21680164803275,3.77873747556207,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.7,"abun",7.58683053442693,28.5827443410924,56.8438335280731,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.8,"rich",2.05674754093353,3.32426982145039,3.92289738361437,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.8,"abun",8.56289472980816,33.2769308826674,57.5480467795393,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.9,"rich",1.9925268626283,3.31493186018451,4.15569919202102,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.9,"abun",9.15236856977028,37.7333645489675,60.3949584364308,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",1,"rich",1.9785533319587,3.29614854441593,4.31873692189027,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",1,"abun",9.83824717054619,42.5597884400965,59.5399512386975,0.000977517106549364,"a0.5","a0.5","16"
"var","97.5%",0.1,"rich",2.12586298818579,2.33850455633706,0.939858140693732,0.000977517106549364,"a0.5","a0.5","16"
"var","97.5%",0.1,"abun",3.93691988559995,6.88566333699902,6.39418394027218,0.000977517106549364,"a0.5","a0.5","16"
